OBJECTID,problem,personSearch,vehicleSearch,preRace,race,gender,policePrecinct
51780,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
19789,Suspicious Person (P),NO,NO,Black,Black,Female,5.0
69449,Attempt Pick-Up (P),NO,NO,White,White,Male,3.0
93705,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
43582,Suspicious Person (P),NO,NO,White,White,Male,2.0
29359,Traffic Law Enforcement (P),NO,NO,Latino,Latino,Male,3.0
54758,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,5.0
104873,Suspicious Vehicle (P),NO,NO,Black,Black,Male,5.0
23299,Traffic Law Enforcement (P),NO,NO,White,White,Male,4.0
146221,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
61105,Traffic Law Enforcement (P),NO,NO,Black,East African,Male,3.0
90081,Traffic Law Enforcement (P),NO,NO,White,Black,Female,5.0
72699,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,2.0
19267,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
69192,Traffic Law Enforcement (P),NO,NO,White,White,Female,3.0
43343,Suspicious Person (P),YES,NO,Native American,Native American,Male,3.0
14516,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
143671,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
114044,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
66430,Suspicious Person (P),YES,NO,White,White,Male,1.0
108713,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
71594,Traffic Law Enforcement (P),NO,NO,East African,East African,Male,3.0
10736,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
67969,Suspicious Person (P),NO,NO,White,White,Male,4.0
49481,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
61301,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,1.0
149369,Attempt Pick-Up (P),YES,NO,White,White,Male,1.0
23584,Suspicious Person (P),NO,NO,White,White,Male,3.0
8239,Traffic Law Enforcement (P),NO,NO,White,Asian,Female,5.0
13633,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
6974,Suspicious Vehicle (P),NO,NO,White,White,Male,4.0
132578,Suspicious Person (P),YES,NO,East African,East African,Male,1.0
29679,Suspicious Person (P),NO,NO,White,White,Female,3.0
41608,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,4.0
9738,Suspicious Vehicle (P),YES,YES,White,White,Male,4.0
75294,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
87979,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,3.0
24051,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
29783,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,3.0
146893,Suspicious Vehicle (P),YES,YES,White,White,Male,2.0
92259,Suspicious Person (P),NO,NO,White,White,Female,3.0
75669,Suspicious Person (P),NO,NO,Black,Black,Female,4.0
116652,Attempt Pick-Up (P),NO,NO,Black,Black,Male,3.0
130018,Suspicious Person (P),NO,NO,Black,Black,Female,3.0
130664,Suspicious Person (P),YES,NO,White,White,Male,5.0
102762,Suspicious Vehicle (P),NO,NO,Black,Black,Male,2.0
30106,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
120992,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
88440,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
119144,Suspicious Person (P),NO,NO,White,White,Male,1.0
117685,Suspicious Person (P),NO,NO,White,White,Male,3.0
36263,Suspicious Person (P),NO,NO,East African,East African,Male,5.0
113126,Attempt Pick-Up (P),YES,NO,Black,Black,Male,1.0
4836,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,4.0
79482,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
59515,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
59163,Suspicious Person (P),NO,NO,White,White,Male,5.0
128230,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
14274,Traffic Law Enforcement (P),NO,NO,Native American,Native American,Female,4.0
29767,Suspicious Person (P),NO,NO,White,White,Female,3.0
78762,Suspicious Person (P),NO,NO,White,White,Male,2.0
114647,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
35109,Suspicious Person (P),NO,NO,Native American,Native American,Male,3.0
20757,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
57941,Suspicious Person (P),NO,NO,White,White,Female,5.0
93819,Suspicious Person (P),NO,NO,White,White,Female,2.0
90141,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
114816,Attempt Pick-Up (P),NO,NO,White,White,Male,3.0
73838,Suspicious Person (P),YES,NO,White,White,Male,2.0
68242,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
33258,Attempt Pick-Up (P),NO,NO,Other,Other,Female,3.0
71951,Traffic Law Enforcement (P),NO,NO,Other,White,Female,1.0
70302,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
94171,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
97705,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,2.0
83011,Attempt Pick-Up (P),YES,NO,Black,Black,Female,4.0
128617,Suspicious Person (P),NO,NO,Native American,Native American,Female,3.0
83556,Suspicious Vehicle (P),NO,NO,White,White,Male,2.0
117463,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
114434,Suspicious Person (P),NO,NO,East African,East African,Male,1.0
25459,Traffic Law Enforcement (P),NO,NO,White,White,Male,1.0
54447,Suspicious Person (P),NO,NO,White,White,Male,5.0
99711,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
4298,Traffic Law Enforcement (P),NO,NO,Asian,Asian,Male,4.0
77119,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
19061,Suspicious Person (P),NO,NO,Black,Black,Female,3.0
21709,Suspicious Person (P),YES,NO,Black,Black,Female,4.0
127853,Suspicious Person (P),NO,NO,White,White,Male,1.0
90379,Traffic Law Enforcement (P),YES,YES,White,White,Female,3.0
45483,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
119870,Suspicious Person (P),NO,NO,White,White,Male,5.0
12310,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
86654,Suspicious Vehicle (P),YES,YES,Native American,Native American,Male,3.0
34422,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
113638,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
149104,Suspicious Person (P),YES,YES,Black,Black,Female,4.0
106390,Suspicious Vehicle (P),NO,NO,Black,East African,Male,2.0
145293,Attempt Pick-Up (P),NO,NO,White,White,Female,1.0
131022,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,2.0
149247,Suspicious Person (P),NO,NO,Native American,Native American,Female,3.0
92202,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,2.0
17438,Traffic Law Enforcement (P),NO,NO,East African,East African,Female,2.0
128136,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
152959,Traffic Law Enforcement (P),NO,NO,White,White,Female,4.0
73165,Suspicious Vehicle (P),NO,NO,White,White,Male,3.0
134357,Suspicious Person (P),NO,NO,White,White,Male,5.0
74592,Suspicious Person (P),NO,NO,White,White,Female,1.0
138180,Traffic Law Enforcement (P),NO,NO,White,White,Female,2.0
59,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
64352,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
88680,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
123135,Suspicious Person (P),NO,NO,White,White,Male,3.0
1427,Traffic Law Enforcement (P),NO,NO,East African,East African,Male,5.0
132368,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
81087,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,2.0
31988,Suspicious Person (P),NO,NO,Black,Black,Male,3.0
11522,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,1.0
67340,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
86895,Traffic Law Enforcement (P),NO,NO,White,White,Male,3.0
51514,Suspicious Person (P),NO,NO,Black,Black,Male,3.0
42666,Traffic Law Enforcement (P),NO,NO,White,White,Female,4.0
42352,Traffic Law Enforcement (P),YES,NO,White,White,Male,2.0
53462,Suspicious Person (P),YES,NO,Black,Black,Male,2.0
121936,Traffic Law Enforcement (P),NO,NO,East African,East African,Female,5.0
20108,Traffic Law Enforcement (P),NO,NO,White,White,Female,3.0
117954,Suspicious Person (P),NO,NO,White,White,Female,5.0
117372,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
131573,Suspicious Person (P),NO,NO,White,White,Male,5.0
26706,Suspicious Person (P),NO,NO,Black,Black,Male,3.0
9192,Attempt Pick-Up (P),NO,NO,Black,Black,Male,4.0
33096,Attempt Pick-Up (P),NO,NO,Black,Black,Male,3.0
82749,Suspicious Vehicle (P),NO,NO,White,White,Male,3.0
77509,Suspicious Person (P),YES,NO,Black,Black,Female,1.0
63304,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
29305,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
36935,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
88145,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
