OBJECTID,problem,personSearch,vehicleSearch,preRace,race,gender,policePrecinct
81618,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
94870,Suspicious Person (P),NO,NO,White,White,Male,5.0
6963,Suspicious Person (P),NO,NO,White,White,Male,5.0
90919,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
26910,Suspicious Vehicle (P),NO,NO,White,White,Male,2.0
85884,Traffic Law Enforcement (P),NO,YES,East African,East African,Male,5.0
128316,Traffic Law Enforcement (P),YES,YES,Asian,Asian,Female,4.0
78032,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
90119,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
51463,Suspicious Person (P),YES,NO,Black,Black,Male,3.0
28273,Traffic Law Enforcement (P),NO,NO,White,White,Female,3.0
57828,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
87210,Suspicious Person (P),NO,NO,White,White,Female,1.0
136117,Suspicious Vehicle (P),YES,NO,Latino,Latino,Male,3.0
92550,Suspicious Person (P),NO,NO,Other,Other,Male,3.0
53369,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
133803,Suspicious Person (P),NO,NO,White,White,Male,1.0
74489,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
11928,Suspicious Person (P),NO,NO,Native American,Native American,Female,3.0
7181,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,3.0
11081,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
124788,Suspicious Vehicle (P),NO,NO,Black,Black,Male,3.0
132146,Suspicious Person (P),NO,NO,White,White,Male,1.0
129429,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
68206,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,1.0
128626,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
78393,Traffic Law Enforcement (P),NO,NO,Other,Other,Male,2.0
75888,Traffic Law Enforcement (P),YES,YES,White,White,Male,2.0
93887,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
19183,Suspicious Person (P),YES,NO,Native American,Native American,Male,5.0
23327,Suspicious Person (P),NO,NO,Black,Black,Male,2.0
141718,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,2.0
12324,Traffic Law Enforcement (P),NO,NO,White,White,Female,4.0
47400,Suspicious Person (P),NO,NO,Black,Black,Female,4.0
113834,Suspicious Person (P),NO,NO,White,White,Male,1.0
107573,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,2.0
62898,Suspicious Person (P),NO,NO,Latino,Latino,Male,3.0
77211,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,5.0
135831,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
30954,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
35773,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
39411,Suspicious Person (P),NO,NO,Native American,Native American,Female,3.0
34393,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
42130,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
81758,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,2.0
35026,Curfew Violations (P),NO,NO,Black,Black,Male,1.0
101985,Suspicious Person (P),YES,NO,Black,Black,Male,4.0
73348,Suspicious Vehicle (P),NO,NO,Black,Black,Male,3.0
122758,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
24405,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
125986,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
36851,Suspicious Person (P),NO,NO,White,White,Male,5.0
40767,Suspicious Vehicle (P),NO,NO,White,White,Male,3.0
58409,Suspicious Person (P),YES,NO,Black,Black,Male,5.0
25823,Suspicious Vehicle (P),YES,NO,Black,Black,Male,4.0
19154,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
142125,Suspicious Person (P),NO,NO,Black,Black,Male,3.0
63865,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,2.0
117600,Suspicious Vehicle (P),YES,YES,Black,Black,Male,4.0
122127,Suspicious Vehicle (P),YES,NO,White,White,Female,2.0
80914,Suspicious Vehicle (P),NO,NO,Black,Black,Male,4.0
46907,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
110561,Suspicious Person (P),NO,NO,White,White,Male,3.0
2568,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,5.0
75167,Suspicious Person (P),YES,NO,Other,Other,Male,3.0
125492,Suspicious Person (P),NO,NO,White,White,Female,5.0
130161,Traffic Law Enforcement (P),YES,NO,Black,Black,Male,4.0
42686,Suspicious Person (P),NO,NO,White,White,Female,5.0
120900,Traffic Law Enforcement (P),YES,YES,Black,White,Male,4.0
11711,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
143458,Suspicious Vehicle (P),NO,NO,Black,Black,Male,4.0
47021,Suspicious Person (P),NO,NO,White,White,Male,5.0
87164,Suspicious Person (P),NO,NO,Black,Black,Male,3.0
146684,Traffic Law Enforcement (P),NO,YES,Black,Black,Male,5.0
33220,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
95867,Suspicious Person (P),NO,NO,East African,East African,Male,2.0
141918,Traffic Law Enforcement (P),NO,NO,East African,East African,Male,5.0
63256,Suspicious Vehicle (P),NO,NO,Native American,Native American,Female,3.0
87795,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,5.0
71669,Suspicious Vehicle (P),NO,NO,East African,East African,Male,1.0
13062,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,5.0
118603,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
89756,Traffic Law Enforcement (P),NO,YES,Black,Black,Male,4.0
110214,Suspicious Person (P),NO,NO,Native American,Native American,Male,3.0
85726,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
39698,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
104866,Suspicious Person (P),NO,NO,Latino,Native American,Male,3.0
123392,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
159494,Traffic Law Enforcement (P),NO,YES,White,White,Female,3.0
16453,Suspicious Person (P),NO,NO,Native American,Native American,Male,3.0
28368,Suspicious Vehicle (P),YES,YES,Black,Black,Male,3.0
